Lower Elevation Range (m),Upper Elevation Range(m),Total Area (m2),Total Volume (m3),Number of Cells
-4.000,-3.900,0.000,0.000,0
-3.900,-3.800,0.000,0.000,0
-3.800,-3.700,0.000,0.000,0
-3.700,-3.600,0.000,0.000,0
-3.600,-3.500,0.000,0.000,0
-3.500,-3.400,0.000,0.000,0
-3.400,-3.300,0.000,0.000,0
-3.300,-3.200,0.000,0.000,0
-3.200,-3.100,0.000,0.000,0
-3.100,-3.000,0.500,1.506,2
-3.000,-2.900,0.250,0.725,1
-2.900,-2.800,0.500,1.425,2
-2.800,-2.700,0.500,1.380,2
-2.700,-2.600,1.250,3.317,5
-2.600,-2.500,0.750,1.897,3
-2.500,-2.400,2.500,6.087,10
-2.400,-2.300,4.500,10.532,18
-2.300,-2.200,5.750,12.934,23
-2.200,-2.100,9.500,20.315,38
-2.100,-2.000,18.000,36.863,72
-2.000,-1.900,28.000,54.641,112
-1.900,-1.800,62.250,114.994,249
-1.800,-1.700,123.000,214.658,492
-1.700,-1.600,251.000,412.409,1004
-1.600,-1.500,496.000,766.664,1984
-1.500,-1.400,633.250,917.903,2533
-1.400,-1.300,775.750,1046.090,3103
-1.300,-1.200,1112.250,1384.710,4449
-1.200,-1.100,2046.250,2347.622,8185
-1.100,-1.000,2882.500,3016.911,11530
-1.000,-0.900,4872.000,4603.151,19488
-0.900,-0.800,8380.500,7088.742,33522
-0.800,-0.700,13107.500,9787.485,52430
-0.700,-0.600,19993.750,12933.108,79975
-0.600,-0.500,30198.250,16522.608,120793
-0.500,-0.400,39291.000,17588.710,157164
-0.400,-0.300,51809.750,18024.304,207239
-0.300,-0.200,67569.250,16761.468,270277
-0.200,-0.100,69339.750,10541.499,277359
-0.100,0.000,2067.500,197.502,8270
0.000,0.100,2387.500,227.965,9550
0.100,0.200,78395.750,11925.165,313583
0.200,0.300,65801.000,16252.033,263204
0.300,0.400,41110.500,14201.203,164442
0.400,0.500,23638.750,10536.145,94555
0.500,0.600,13883.250,7578.708,55533
0.600,0.700,8451.750,5461.300,33807
0.700,0.800,5772.750,4316.377,23091
0.800,0.900,4262.500,3610.101,17050
0.900,1.000,2731.500,2585.121,10926
1.000,1.100,1688.750,1766.677,6755
1.100,1.200,1049.750,1202.806,4199
1.200,1.300,680.500,848.233,2722
1.300,1.400,503.000,677.619,2012
1.400,1.500,323.500,467.400,1294
1.500,1.600,192.500,297.697,770
1.600,1.700,127.000,208.741,508
1.700,1.800,65.000,113.340,260
1.800,1.900,36.000,66.544,144
1.900,2.000,21.250,41.442,85
2.000,2.100,17.500,35.859,70
2.100,2.200,13.750,29.381,55
2.200,2.300,5.500,12.310,22
2.300,2.400,0.250,0.581,1
2.400,2.500,0.250,0.603,1
2.500,2.600,0.000,0.000,0
2.600,2.700,0.000,0.000,0
2.700,2.800,0.000,0.000,0
2.800,2.900,0.000,0.000,0
2.900,3.000,0.000,0.000,0
3.000,3.100,0.000,0.000,0
3.100,3.200,0.000,0.000,0
3.200,3.300,0.000,0.000,0
3.300,3.400,0.000,0.000,0
3.400,3.500,0.000,0.000,0
3.500,3.600,0.000,0.000,0
3.600,3.700,0.000,0.000,0
3.700,3.800,0.000,0.000,0
3.800,3.900,0.000,0.000,0
3.900,4.000,0.000,0.000,0
